#Opcode number in hex - ascii representation of the opcode - relevance
#Order opcodes by value of hex number (0x10 < 0xFF < 0x7F00)
#Separate opcodes by a line feed only; no tabs, etc
#There must be one and only one space between each element (hex code, relevance, ascii)
#Other spaces are interpreted as being part of the ascii representation
#Remove leading 0's
#
e602 á 0
e602 &aacute; 0
e603 â 0
e603 &acirc; 0
e604 ã 0
e604 &atilde; 0
e605 ä 0
e605 &auml; 0
e606 å 0
e606 &aring; 0
e607 æ 0
e607 &ae; 0
e608 ç 0
e608 &ccedil; 0
e609 è 0
e609 &egrave; 0
e60a é 0
e60a &eacute; 0
e60b ê 0
e60b &ecirc; 0
e60c ë 0
e60c &euml; 0
e60d ì 0
e60d &igrave; 0
e60e í 0
e60e &iacute; 0
e60f î 0
e60f &icirc; 0
e610 ï 0
e610 &iuml; 0
e611 ð 0
e611 &eth; 0
e612 ñ 0
e612 &ntilde; 0
e613 ò 0
e613 &ograve; 0
e614 ó 0
e614 &oacute; 0
e615 ô 0
e615 &ocirc; 0
e616 õ 0
e616 &otilde; 0
e617 ö 0
e617 &ouml; 0
E618 ø 0
e618 &oslash; 0
e619 ù 0
e619 &ugrave; 0
e61a ú 0
e61a &uacute; 0
e61b û 0
e61b &ucirc; 0
e61c ü 0
e61c &uuml; 0
e61d ý 0
e61d &yacute; 0
e61e þ 0
e61e &thorn; 0
E61F ß 0
E61F &eszett; 0
e620 ÿ 0
e620 &yuml; 0
e621 ă 0
e621 &abreve; 0
e622 ą 0
e622 &aogon; 0
e623 ć 0
e623 &cacute; 0
e624 č 0
e624 &ccaron; 0
e625 œ 0
e625 &oelig; 0
e626 ď 0
e626 &dcaron; 0
e627 ę 0
e627 &eogon; 0
e628 ě 0
e628 &ecaron; 0
e629 ł 0
e629 &lstrok; 0
e62a ń 0
e62a &nacute; 0
e62b ň 0
e62b &ncaron; 0
e62c ő 0
e62c &odblac; 0
e62d ř 0
e62d &rcaron; 0
e62e ś 0
e62e &sacute; 0
e62f š 0
e62f &scaron; 0
e630 ť 0
e630 &tcaron; 0
e631 ů 0
e631 &uring; 0
e632 ű 0
e632 &udblac; 0
e633 ź 0
e633 &zacute; 0
e634 ż 0
e634 &zdot; 0
e635 ž 0
e635 &zcaron; 0
E640 α 0
E640 &alpha; 0
E641 β 0
E641 &beta; 0
E642 γ 0
E642 &gamma; 0
E643 δ 0
E643 &delta; 0
E644 ε 0
E644 &epsilon; 0
E645 ζ 0
E645 &zeta; 0
E646 η 0
E646 &eta; 0
E647 &theta_char; 0
E648 ι 0
E648 &iota; 0
E649 κ 0
E649 &kappa; 0
E64A λ 0
E64A &lambda; 0
E64B &mu; 0
E64C ν 0
E64C &nu; 0
E64D ξ 0
E64D &xi; 0
E64E &omicron; 0
E64F &pi_char; 0
E650 ρ 0
E650 &rho; 0
E651 σ 0
E651 &sigma; 0
E652 ς 0
E652 &sigma2; 0
E653 τ 0
E653 &tau; 0
E654 &upsilon; 0
E655 φ 0
E655 &phi; 0
E656 χ 0
E656 &chi; 0
E657 ψ 0
E657 &psi; 0
E658 ω 0
E658 &omega; 0
E660 &acy; 0
E661 б 0
E661 &bcy; 0
E662 в 0
E662 &vcy; 0
E663 г 0
E663 &gcy; 0
E664 д 0
E664 &dcy; 0
E665 &iecy; 0
E666 &iocy; 0
E667 ж 0
E667 &zhcy; 0
E668 з 0
E668 &zcy; 0
E669 и 0
E669 &icy; 0
E66A й 0
E66A &jcy; 0
E66B &kcy; 0
E66C л 0
E66C &lcy; 0
E66D м 0
E66D &mcy; 0
E66E н 0
E66E &ncy; 0
E66F &ocy; 0
E670 п 0
E670 &pcy; 0
E671 &rcy; 0
E672 &scy; 0
E673 т 0
E673 &tcy; 0
E674 у 0
E674 &ucy; 0
E675 ф 0
E675 &fcy; 0
E676 &khcy; 0
E677 ц 0
E677 &tscy; 0
E678 ч 0
E678 &chcy; 0
E679 ш 0
E679 &shcy; 0
E67A щ 0
E67A &shchcy; 0
E67B ъ 0
E67B &hardcy; 0
E67C ы 0
E67C &ycy; 0
E67D ь 0
E67D &softcy; 0
E67E э 0
E67E &ecy; 0
E680 ю 0
E680 &yucy; 0
E681 я 0
E681 &yacy; 0
E682 є 0
E682 &jukcy; 0
E690 ← 0
E690 &left_arrow; 0
E691 → 0
E691 &right_arrow; 0
E692 ↑ 0
E692 &up_arrow; 0
E693 ↓ 0
E693 &down_arrow; 0
E694 ↔ 0
E694 &left_right_arrow; 0
E695 ↕ 0
E695 &up_down_arrow; 0
E696 ↖ 0
E696 &top_left_arrow; 0
E697 ↗ 0
E697 &top_right_arrow; 0
E698 ↘ 0
E698 &bottom_left_arrow; 0
E699 ↙ 0
E699 &bottom_right_arrow; 0
E69A ◀ 0
E69A &left_black_triangle; 0
E69B ▶ 0
E69B &right_black_triangle; 0
E69C ▲ 0
E69C &up_black_triangle; 0
E69D ▼ 0
E69D &down_black_triangle; 0
E69E ▸ 0
E69E &right_small_black_triangle; 0
E69F ▷ 0
E69F &right_white_triangle; 0
E6A0 ⋇ 0
E6A0 &divide_on_times; 0
E6A1 【 0
E6A1 &left_lenticular_bracket; 0
E6A2 】 0
E6A2 &right_lenticular_bracket; 0
E6A3 ○ 0
E6A3 &white_circle; 0
E6A4 ● 0
E6A4 &black_circle; 0
E6A5 □ 0
E6A5 &white_square; 0
E6A6 ■ 0
E6A6 &black_square; 0
E6A7 ◇ 0
E6A7 &white_diamond; 0
E6A8 ◆ 0
E6A8 &black_diamond; 0
E6A9 ⊠ 0
E6A9 &black_square_with_cross; 0
E6AA ▪ 0
E6AA &bullet_operator; 0
E6AC △ 0
E6AC &up_white_triangle; 0
E6AD ▽ 0
E6AD &down_white_triangle; 0
E6AE ✖ 0
E6AE &bold_cross; 0
E6AF ◁ 0
E6AF &left_white_triangle; 0
E6B0 ≒ 0
E6B0 &equal_with_dots; 0
E6B1 ≈ 0
E6B1 &approx_equal_to; 0
E6B2 ≡ 0
E6B2 &triple_equal; 0
E6B3 ≢ 0
E6B3 &not_triple_equal; 0
E6B4 ≅ 0
E6B4 &approx_triple_equal; 0
E6B5 ∽ 0
E6B5 &reversed_tilde; 0
E6B6 ∝ 0
E6B6 &proportional_to; 0
E6B7 ∬ 0
E6B7 &double_integral; 0
E6B8 ∮ 0
E6B8 &contour_integral; 0
E6B9 ∂ 0
E6B9 &partial_differential; 0
E6BB ∫ 0
E6BB &integral; 0
E6BC ∡ 0
E6BC &measured_angle; 0
E6BD ∈ 0
E6BD &element_of; 0
E6BE ∋ 0
E6BE &contains_as_member; 0
E6BF ⊆ 0
E6BF &subset_of_or_equal_to; 0
E6C0 ⊇ 0
E6C0 &superset_of_or_equal_to; 0
E6C1 ⊂ 0
E6C1 &subset_of; 0
E6C2 ⊃ 0
E6C2 &superset_of; 0
E6C3 ∪ 0
E6C3 &union; 0
E6C4 ∩ 0
E6C4 &intersection; 0
E6C5 ∉ 0
E6C5 &not_an_element_of; 0
E6C6 ∌ 0
E6C6 &does_not_contain_as_member; 0
E6C7 ⊈ 0
E6C7 &neither_a_subset_of_nor_equal_to; 0
E6C8 ⊉ 0
E6C8 &neither_a_superset_of_nor_equal_to; 0
E6C9 ⊄ 0
E6C9 &not_a_subset_of; 0
E6CA ⊅ 0
E6CA &not_a_superset_of; 0
E6CB ∅ 0
E6CB &empty_set; 0
E6CC ∃ 0
E6CC &there_exists; 0
E6CD ∟ 0
E6CD &right_angle; 0
E6CE ∨ 0
E6CE &\/; 0
E6CF ∧ 0
E6CF &/\; 0
E6D0 ∀ 0
E6D0 &for_all; 0
E6D1 ⊕ 0
E6D1 &circled_+; 0
E6D2 ⊖ 0
E6D2 &circled_-; 0
E6D3 ⊗ 0
E6D3 &circled_x; 0
E6D4 ⊘ 0
E6D4 &circled_/; 0
E6D5 ⊥ 0
E6D5 &perpendicular_to; 0
E6D6 ⇔ 0
E6D6 &left_right_double_arrow; 0
E6D7 ∥ 0
E6D7 &||; 0
E6D8 ∦ 0
E6D8 &||_strike; 0
E6D9 ⫽ 0
E6D9 &//; 0
E6DA ∇ 0
E6DA &shield; 0
E6DB ∴ 0
E6DB &dots_in_^; 0
E6DC ∵ 0
E6DC &dots_in_v; 0
E6DD ′ 0
E6DD &prime; 0
E6DE ″ 0
